Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Lithuania,LTU,42.9,..,..,..,..,39.9,..,38.7,..,..,37.1,..,..,..,..,34.6,..,..,..,..,32.3,31.8,31.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Luxembourg,LUX,29.8,..,..,..,..,28.2,..,27.5,..,..,26.4,..,..,..,..,24.9,..,..,..,..,23.5,23.3,23,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Madagascar,MDG,53.1,..,..,..,..,43.9,..,41,..,..,37,..,..,..,..,32.1,..,..,..,..,28.2,27.5,26.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Malawi,MWI,24.1,..,..,..,..,19.4,..,17.9,..,..,15.8,..,..,..,..,12.9,..,..,..,..,10.5,10.1,9.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Malaysia,MYS,30.8,..,..,..,..,28.2,..,27.2,..,..,26,..,..,..,..,24,..,..,..,..,22.6,22.2,22,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Maldives,MDV,42.4,..,..,..,..,37.6,..,36.1,..,..,33.7,..,..,..,..,30.3,..,..,..,..,27.5,26.9,26.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mali,MLI,16.7,..,..,..,..,14,..,13.1,..,..,11.8,..,..,..,..,10,..,..,..,..,8.5,8.3,8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Malta,MLT,33,..,..,..,..,30.7,..,30,..,..,28.8,..,..,..,..,26.8,..,..,..,..,25.4,25.1,24.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Marshall Islands,MHL,27.5,..,..,..,..,27.8,..,28.2,..,..,28.5,..,..,..,..,29.1,..,..,..,..,29.6,29.7,29.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mauritania,MRT,22,..,..,..,..,18.1,..,16.7,..,..,14.8,..,..,..,..,12.3,..,..,..,..,10.2,9.8,9.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mauritius,MUS,25.4,..,..,..,..,24.1,..,23.7,..,..,23,..,..,..,..,22.1,..,..,..,..,21.3,21.1,20.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mexico,MEX,22.7,..,..,..,..,20.6,..,19.9,..,..,18.7,..,..,..,..,17,..,..,..,..,15.5,15.2,14.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Moldova,MDA,25.2,..,..,..,..,26.1,..,26.5,..,..,27,..,..,..,..,28.1,..,..,..,..,29.2,29.5,29.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mongolia,MNG,33.2,..,..,..,..,32.2,..,31.8,..,..,31.3,..,..,..,..,30.5,..,..,..,..,30,29.6,29.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Montenegro,MNE,38.6,..,..,..,..,36.7,..,36.1,..,..,35.2,..,..,..,..,33.7,..,..,..,..,32.4,32.3,32,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Morocco,MAR,20.4,..,..,..,..,18.3,..,17.5,..,..,16.5,..,..,..,..,14.9,..,..,..,..,13.5,13.3,13,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Mozambique,MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Myanmar,MMR,65.4,..,..,..,..,60.5,..,58.2,..,..,54.8,..,..,..,..,50.2,..,..,..,..,45.9,45.1,44.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Namibia,NAM,26.5,..,..,..,..,22.6,..,21.2,..,..,19.4,..,..,..,..,16.9,..,..,..,..,14.9,14.5,14.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Nauru,NRU,63.6,..,..,..,..,59.6,..,57.8,..,..,55.6,..,..,..,..,52.6,..,..,..,..,49.4,48.9,48.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Nepal,NPL,64.7,..,..,..,..,54.5,..,49.9,..,..,44,..,..,..,..,36.3,..,..,..,..,30.3,29.4,28.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Netherlands,NLD,34.5,..,..,..,..,30.7,..,29.5,..,..,27.7,..,..,..,..,24.7,..,..,..,..,22.2,21.7,21.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,New Zealand,NZL,30.4,..,..,..,..,24.8,..,22.7,..,..,20.1,..,..,..,..,16.4,..,..,..,..,13.3,12.8,12.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Nicaragua,NIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Niger,NER,9.7,..,..,..,..,9.1,..,8.9,..,..,8.6,..,..,..,..,8.1,..,..,..,..,7.8,7.7,7.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Nigeria,NGA,10.7,..,..,..,..,8.1,..,7.2,..,..,6.1,..,..,..,..,4.7,..,..,..,..,3.6,3.4,3.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,North Macedonia,MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Norway,NOR,44.9,..,..,..,..,34.6,..,31.2,..,..,26.6,..,..,..,..,20.5,..,..,..,..,15.8,15,14.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Oman,OMN,7.5,..,..,..,..,7.7,..,7.7,..,..,7.9,..,..,..,..,8.1,..,..,..,..,8.3,8.4,8.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Pakistan,PAK,39.3,..,..,..,..,33.1,..,31.1,..,..,28,..,..,..,..,23.7,..,..,..,..,20.2,19.5,18.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Palau,PLW,26.2,..,..,..,..,23.6,..,22.7,..,..,21.5,..,..,..,..,19.6,..,..,..,..,18,17.7,17.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Panama,PAN,14.1,..,..,..,..,11.1,..,10.1,..,..,8.8,..,..,..,..,7.1,..,..,..,..,5.6,5.4,5.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Papua New Guinea,PNG,53.8,..,..,..,..,50.2,..,48.7,..,..,46.6,..,..,..,..,43.5,..,..,..,..,40.7,40.2,39.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Paraguay,PRY,29.4,..,..,..,..,23.2,..,21.1,..,..,18.4,..,..,..,..,14.6,..,..,..,..,11.7,11.2,10.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Peru,PER,34.7,..,..,..,..,24,..,20.7,..,..,16.7,..,..,..,..,11.7,..,..,..,..,8.2,7.6,7.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Philippines,PHL,36.5,..,..,..,..,31.7,..,30.1,..,..,27.7,..,..,..,..,24.4,..,..,..,..,21.6,20.9,20.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Poland,POL,38.9,..,..,..,..,34.6,..,33,..,..,30.9,..,..,..,..,27.6,..,..,..,..,24.5,24,23.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Portugal,PRT,26,..,..,..,..,25.7,..,25.7,..,..,25.5,..,..,..,..,25.5,..,..,..,..,25.6,25.6,25.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Puerto Rico (US),PRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Qatar,QAT,12.9,..,..,..,..,12.7,..,12.6,..,..,12.5,..,..,..,..,12.5,..,..,..,..,12.5,12.5,12.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Romania,ROU,36.9,..,..,..,..,35.3,..,34.6,..,..,33.6,..,..,..,..,32,..,..,..,..,30.7,30.3,30,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Russian Federation,RUS,32.7,..,..,..,..,31.6,..,31.4,..,..,30.8,..,..,..,..,30,..,..,..,..,29.4,29.3,29.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Rwanda,RWA,24.4,..,..,..,..,21.2,..,20.1,..,..,18.6,..,..,..,..,16.6,..,..,..,..,14.9,14.6,14.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Samoa,WSM,41.6,..,..,..,..,36.1,..,34,..,..,31.2,..,..,..,..,27.1,..,..,..,..,23.8,23.1,22.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sao Tome and Principe,STP,7.2,..,..,..,..,7.2,..,7.2,..,..,7.3,..,..,..,..,7.4,..,..,..,..,7.7,7.8,7.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Saudi Arabia,SAU,14.2,..,..,..,..,14.3,..,14.3,..,..,14.3,..,..,..,..,14.4,..,..,..,..,14.8,14.8,14.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Senegal,SEN,14.9,..,..,..,..,12.3,..,11.4,..,..,10.2,..,..,..,..,8.4,..,..,..,..,7,6.7,6.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Serbia,SRB,44.9,..,..,..,..,43.7,..,43.2,..,..,42.4,..,..,..,..,41.1,..,..,..,..,40.1,39.9,39.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Seychelles,SYC,30.9,..,..,..,..,27.6,..,26.5,..,..,24.9,..,..,..,..,22.7,..,..,..,..,20.8,20.6,20.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sierra Leone,SLE,40,..,..,..,..,31,..,28,..,..,23.9,..,..,..,..,18.4,..,..,..,..,14.3,13.5,12.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Singapore,SGP,16.9,..,..,..,..,16.8,..,16.7,..,..,16.6,..,..,..,..,16.6,..,..,..,..,16.3,16.3,16.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Slovak Republic,SVK,32.2,..,..,..,..,31.9,..,32,..,..,31.8,..,..,..,..,31.9,..,..,..,..,32.3,32.3,32.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Slovenia,SVN,25.7,..,..,..,..,24.3,..,23.7,..,..,23,..,..,..,..,21.8,..,..,..,..,20.6,20.4,20.1,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Solomon Islands,SLB,43.5,..,..,..,..,41.6,..,40.8,..,..,40,..,..,..,..,38.3,..,..,..,..,37.3,37.1,36.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Somalia, Fed. Rep.",SOM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,South Africa,ZAF,23.7,..,..,..,..,22.7,..,22.5,..,..,22,..,..,..,..,21.5,..,..,..,..,20.9,20.8,20.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Spain,ESP,35,..,..,..,..,33.3,..,32.8,..,..,31.7,..,..,..,..,30.3,..,..,..,..,28.9,28.7,28.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sri Lanka,LKA,30.2,..,..,..,..,27,..,25.9,..,..,24.3,..,..,..,..,22.1,..,..,..,..,20.2,19.8,19.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,St. Lucia,LCA,20.2,..,..,..,..,18.3,..,17.6,..,..,16.8,..,..,..,..,15.4,..,..,..,..,14.3,14.1,13.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sudan,SDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Suriname,SUR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Sweden,SWE,46.5,..,..,..,..,39.4,..,36.9,..,..,33.4,..,..,..,..,28.3,..,..,..,..,24.1,23.3,22.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Switzerland,CHE,28.3,..,..,..,..,27.6,..,27.3,..,..,26.9,..,..,..,..,26.4,..,..,..,..,25.8,25.7,25.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Syrian Arab Republic,SYR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Tajikistan,TJK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Tanzania,TZA,27.8,..,..,..,..,21.5,..,19.5,..,..,16.8,..,..,..,..,13.1,..,..,..,..,10.2,9.7,9.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Thailand,THA,26.2,..,..,..,..,24.4,..,23.5,..,..,22.6,..,..,..,..,21.1,..,..,..,..,19.7,19.4,19.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Timor-Leste,TLS,52.8,..,..,..,..,49.6,..,48.2,..,..,46.2,..,..,..,..,43,..,..,..,..,39.9,39.3,38.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Togo,TGO,15.9,..,..,..,..,12.7,..,11.6,..,..,10.2,..,..,..,..,8.3,..,..,..,..,6.8,6.6,6.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Tonga,TON,33.3,..,..,..,..,32.7,..,32.4,..,..,32.3,..,..,..,..,31.8,..,..,..,..,31.5,31.3,31.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Tunisia,TUN,29.7,..,..,..,..,27.1,..,26.4,..,..,25,..,..,..,..,23,..,..,..,..,21.2,21,20.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Turkiye,TUR,33.8,..,..,..,..,32.8,..,32.4,..,..,32,..,..,..,..,31.3,..,..,..,..,30.7,30.7,30.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Turkmenistan,TKM,14.8,..,..,..,..,11.7,..,10.6,..,..,9.3,..,..,..,..,7.5,..,..,..,..,6.1,5.8,5.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Tuvalu,TUV,48.3,..,..,..,..,44.4,..,43,..,..,40.7,..,..,..,..,37.6,..,..,..,..,34.8,34.2,33.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Uganda,UGA,25.8,..,..,..,..,19.3,..,17.2,..,..,14.6,..,..,..,..,11,..,..,..,..,8.4,7.9,7.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Ukraine,UKR,38.2,..,..,..,..,34.8,..,33.3,..,..,31.3,..,..,..,..,28.5,..,..,..,..,25.9,25.5,24.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,United Arab Emirates,ARE,19.1,..,..,..,..,15.9,..,14.8,..,..,13.3,..,..,..,..,11.2,..,..,..,..,9.6,9.3,9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,United Kingdom,GBR,37.6,..,..,..,..,30,..,27.5,..,..,24.1,..,..,..,..,19.3,..,..,..,..,15.6,14.9,14.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,United States,USA,31.5,..,..,..,..,29.6,..,29,..,..,27.9,..,..,..,..,26.3,..,..,..,..,24.9,24.7,24.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Uruguay,URY,35.4,..,..,..,..,31.3,..,29.8,..,..,27.6,..,..,..,..,24.4,..,..,..,..,21.5,21,20.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Uzbekistan,UZB,27.8,..,..,..,..,24.7,..,23.6,..,..,21.9,..,..,..,..,19.6,..,..,..,..,17.4,17.1,16.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Vanuatu,VUT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Venezuela, RB",VEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Viet Nam,VNM,31.1,..,..,..,..,28.8,..,28,..,..,26.6,..,..,..,..,24.9,..,..,..,..,23.2,22.9,22.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Yemen, Rep.",YEM,28.7,..,..,..,..,26.7,..,25.9,..,..,24.8,..,..,..,..,23.3,..,..,..,..,21.8,21.7,21.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Zambia,ZMB,19.7,..,..,..,..,18.2,..,17.7,..,..,17,..,..,..,..,15.8,..,..,..,..,14.8,14.8,14.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Zimbabwe,ZWE,21.4,..,..,..,..,18.3,..,17.2,..,..,15.7,..,..,..,..,13.6,..,..,..,..,11.9,11.6,11.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Africa Eastern and Southern,AFE,21.7579740108658,..,..,..,..,18.5969761141652,..,17.5388972270479,..,..,16.113996353133,..,..,..,..,14.0961597128605,..,..,..,..,12.4448953421007,12.1608327586397,11.8819514401161,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Africa Western and Central,AFW,13.7782731243322,..,..,..,..,11.068666961924,..,10.131047609148,..,..,8.94775892585108,..,..,..,..,7.35862709966676,..,..,..,..,6.10938005554531,5.88922037554223,5.73415427820482,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Arab World,ARB,21.7203916443583,..,..,..,..,21.0723750529259,..,20.9074498462177,..,..,20.5841768650309,..,..,..,..,20.2975065576079,..,..,..,..,20.3020447977178,20.3926237156063,20.3320672779024,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Central Europe and the Baltics,CEB,38.2624320277416,..,..,..,..,35.6735550061004,..,34.7187572916217,..,..,33.3569456160206,..,..,..,..,31.2789571765763,..,..,..,..,29.3785709157887,29.0551387724274,28.748376439472,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Early-demographic dividend,EAR,43.1401607315651,..,..,..,..,37.3229251052823,..,35.169012201256,..,..,32.18663432107,..,..,..,..,28.0348812409148,..,..,..,..,24.691119173308,24.1214437206903,23.5518464608829,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,East Asia & Pacific,EAS,29.9468209175097,..,..,..,..,28.3615108695231,..,27.7829555831967,..,..,27.0864279083596,..,..,..,..,25.9865953516797,..,..,..,..,25.0153186135364,24.7138557204019,24.6404445882366,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,East Asia & Pacific (excluding high income),EAP,29.5970631661164,..,..,..,..,28.332688358594,..,27.8602369027835,..,..,27.3207434213698,..,..,..,..,26.4351378279324,..,..,..,..,25.6360794932628,25.3532542225383,25.3136516036694,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,East Asia & Pacific (IDA & IBRD countries),TEA,29.5984874731703,..,..,..,..,28.3654766765275,..,27.9034097763968,..,..,27.3799725705365,..,..,..,..,26.5201085922162,..,..,..,..,25.7406472550029,25.458931194142,25.4247651879299,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Euro area,EMU,34.5227781636048,..,..,..,..,32.214074928108,..,31.4013581224057,..,..,30.2011484575241,..,..,..,..,28.3952417235398,..,..,..,..,26.8713838557487,26.551979891196,26.3169594432953,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Europe & Central Asia,ECS,35.0914198003185,..,..,..,..,32.4073220001484,..,31.4706170343189,..,..,30.0952757844586,..,..,..,..,28.0781463707136,..,..,..,..,26.3798821823961,26.0665750849529,25.7559643766541,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Europe & Central Asia (excluding high income),ECA,34.9541120471329,..,..,..,..,32.411252661091,..,31.4023554567018,..,..,30.0599600644251,..,..,..,..,28.1657317286258,..,..,..,..,26.5297686537559,26.2942567563129,25.9369590673304,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Europe & Central Asia (IDA & IBRD countries),TEC,34.8682479182532,..,..,..,..,32.7460387874997,..,31.9947372423873,..,..,30.8586184633242,..,..,..,..,29.2175933851639,..,..,..,..,27.7972996272275,27.5754939431191,27.3099488024324,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,European Union,EUU,35.63439663131,..,..,..,..,33.0605809771629,..,32.1425536198795,..,..,30.8102135803478,..,..,..,..,28.7944442783504,..,..,..,..,27.0556963981505,26.7086368131888,26.4377661936344,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Fragile and conflict affected situations,FCS,24.9059521283804,..,..,..,..,21.6682355683261,..,20.4229013765826,..,..,18.7316574839592,..,..,..,..,16.4297493080035,..,..,..,..,14.4012568881764,14.0610685569522,13.6707955809136,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Heavily indebted poor countries (HIPC),HPC,20.689135666041,..,..,..,..,17.1902869597185,..,16.019628781773,..,..,14.5022570430385,..,..,..,..,12.4051748721733,..,..,..,..,10.7526036691287,10.462300344253,10.1864096782736,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,High income,HIC,33.4265268770332,..,..,..,..,30.4946234893911,..,29.4782500556469,..,..,27.9671326798097,..,..,..,..,25.7100440625304,..,..,..,..,23.8755773434574,23.5447668998621,23.1806267894446,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,IBRD only,IBD,35.1746964561043,..,..,..,..,31.7609385489606,..,30.4871783754585,..,..,28.7639589214153,..,..,..,..,26.1967069384882,..,..,..,..,24.0273625315029,23.5896838393109,23.256088717243,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,IDA & IBRD total,IBT,34.6551408009352,..,..,..,..,30.9680803466862,..,29.5937980305348,..,..,27.7070820557784,..,..,..,..,24.9210922983932,..,..,..,..,22.5375463196881,22.0710381116218,21.6849400829091,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,IDA blend,IDB,25.5830494563338,..,..,..,..,21.5801034736734,..,20.2551400554762,..,..,18.312379833092,..,..,..,..,15.4095331448137,..,..,..,..,13.0091258593836,12.5676197231927,12.1888112177165,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,IDA only,IDX,36.2665123726167,..,..,..,..,31.0004952908261,..,29.0253019852427,..,..,26.3192320462778,..,..,..,..,22.5769155466257,..,..,..,..,19.4251617429709,18.9130519557422,18.358802000578,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,IDA total,IDA,32.2115670935105,..,..,..,..,27.3893255890676,..,25.6466346942394,..,..,23.212347864658,..,..,..,..,19.8210120754063,..,..,..,..,16.9807678986026,16.4959703485702,16.0086785314244,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Late-demographic dividend,LTE,27.8773177076455,..,..,..,..,26.2531751231241,..,25.6386325759272,..,..,24.869108919153,..,..,..,..,23.5791248430307,..,..,..,..,22.4560401132607,22.1441860023655,22.021936528584,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Latin America & Caribbean,LCN,24.8765801471203,..,..,..,..,21.3264393156152,..,20.0931526098571,..,..,18.4508816346581,..,..,..,..,16.0493986345715,..,..,..,..,14.1056510225422,13.7363576171567,13.4098250634915,..,..
