Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Bulgaria,BGR,47.4,..,..,..,..,44.9,..,44.2,..,..,43,..,..,..,..,41.4,..,..,..,..,40,39.8,39.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Burkina Faso,BFA,30.7,..,..,..,..,25.2,..,23.4,..,..,20.9,..,..,..,..,17.6,..,..,..,..,15.1,14.7,14.3,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Burundi,BDI,26.3,..,..,..,..,21.1,..,19.5,..,..,17.3,..,..,..,..,14.3,..,..,..,..,12,11.6,11.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cabo Verde,CPV,20.1,..,..,..,..,17.4,..,16.3,..,..,15.1,..,..,..,..,13.2,..,..,..,..,11.6,11.2,11,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cambodia,KHM,42,..,..,..,..,34.4,..,31.5,..,..,28,..,..,..,..,22.7,..,..,..,..,18.6,18,17.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cameroon,CMR,15.9,..,..,..,..,12.8,..,11.7,..,..,10.4,..,..,..,..,8.5,..,..,..,..,7,6.7,6.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Canada,CAN,28.7,..,..,..,..,23.5,..,21.6,..,..,19.3,..,..,..,..,15.8,..,..,..,..,13,12.5,12,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Chad,TCD,10.9,..,..,..,..,9.9,..,9.5,..,..,9,..,..,..,..,8.3,..,..,..,..,7.7,7.5,7.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Chile,CHL,46.9,..,..,..,..,41.9,..,40.1,..,..,37.5,..,..,..,..,33.6,..,..,..,..,30.1,29.5,28.7,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,China,CHN,27,..,..,..,..,26,..,25.6,..,..,25.2,..,..,..,..,24.4,..,..,..,..,23.7,23.4,23.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Colombia,COL,15.7,..,..,..,..,13.4,..,12.6,..,..,11.5,..,..,..,..,9.9,..,..,..,..,8.6,8.4,8.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Comoros,COM,50.2,..,..,..,..,37,..,33.2,..,..,28.3,..,..,..,..,22.5,..,..,..,..,18.5,17.8,17.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Congo, Dem. Rep.",COD,22.2,..,..,..,..,19,..,17.8,..,..,16.4,..,..,..,..,14.3,..,..,..,..,12.7,12.4,12.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,"Congo, Rep.",COG,12.3,..,..,..,..,12.6,..,12.7,..,..,13,..,..,..,..,13.8,..,..,..,..,14.9,15.2,15.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Costa Rica,CRI,17.3,..,..,..,..,14.9,..,14,..,..,12.7,..,..,..,..,10.9,..,..,..,..,9.4,9.1,8.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cote d'Ivoire,CIV,20.7,..,..,..,..,16.7,..,15.4,..,..,13.7,..,..,..,..,11.4,..,..,..,..,9.4,9.1,8.8,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Croatia,HRV,34.8,..,..,..,..,35.1,..,35.3,..,..,35.5,..,..,..,..,36.1,..,..,..,..,36.7,36.8,37,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cuba,CUB,39.6,..,..,..,..,32.6,..,30.3,..,..,27.1,..,..,..,..,22.5,..,..,..,..,18.7,18.1,17.4,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Cyprus,CYP,42.4,..,..,..,..,40.3,..,39.7,..,..,38.6,..,..,..,..,37.1,..,..,..,..,35.9,35.8,35.6,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Czechia,CZE,34.9,..,..,..,..,33.7,..,33.3,..,..,32.5,..,..,..,..,31.4,..,..,..,..,30.4,30.3,29.9,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Denmark,DNK,37.8,..,..,..,..,31.2,..,28.9,..,..,25.7,..,..,..,..,21.2,..,..,..,..,17.5,16.8,16.2,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Dominican Republic,DOM,18.8,..,..,..,..,16.4,..,15.5,..,..,14.3,..,..,..,..,12.5,..,..,..,..,11,10.7,10.5,..,..
Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,Ecuador,ECU,14.5,..,..,..,..,13.3,..,12.8,..,..,12.2,..,..,..,..,11.3,..,..,..,..,10.5,10.3,10.2,..,..
